has_crosswalk,has_traffic_sign,has_traffic_light,has_bicycle,obstruction_density,sidewalk_ratio,cycling_lane_coverage,greenery_ratio,road_condition,scene_label,Cluster,u,v,key
1.0,1.0,1.0,1.0,0.5864198909587409,0.6596120226854509,0.0,0.5110222854348071,1.0,residential_neighborhood,5,11664682738,32476370,0
1.0,1.0,1.0,1.0,0.5600271430938841,1.5254682642330695,0.1928439420062828,0.4177875100455036,1.0,residential_neighborhood,3,11667620728,9974330305,0
0.0,1.0,1.0,1.0,0.4939653985358203,1.584174960874633,-0.7004045435160344,0.5270980710349208,1.0,residential_neighborhood,3,11667620730,747621171,0
0.0,1.0,1.0,1.0,0.4495603389095745,1.2668442826475015,0.1928439420062828,0.6512657119566376,1.0,street,3,11667623852,7244796046,0
1.0,1.0,1.0,1.0,0.5064753154496855,1.3506014962586945,0.09686515020783588,0.42987937619507915,1.0,residential_neighborhood,3,11667630479,6539056890,0
1.0,1.0,1.0,1.0,0.5064753154496855,1.3506014962586945,0.09686515020783588,0.42987937619507915,1.0,residential_neighborhood,3,11667630479,8585832127,0
1.0,1.0,0.0,0.0,0.538144401806675,1.0648310636605447,0.19106226815233832,0.5343216910016917,1.0,alley,3,11667630483,12101126565,0
1.0,1.0,1.0,1.0,0.5318572557232163,0.06423214741672821,0.06616041267181058,0.44843550709805224,1.0,railroad_track,6,11668465451,5401281333,0
1.0,1.0,1.0,1.0,0.53409557973427,0.9624901684598395,-1.0345390472108011,0.5809848295664674,1.0,residential_neighborhood,5,11668716379,6539056966,0
1.0,1.0,1.0,1.0,0.5946513574223616,-0.8202653851461494,0.17021202609032055,0.6477665065089364,1.0,alley,0,11668716384,1983906790,0
1.0,1.0,1.0,0.0,0.6109708583847689,-0.9604206808892308,-0.6129615735262681,0.6511648891774702,1.0,residential_neighborhood,0,11668716384,5714362106,0
0.0,1.0,0.0,1.0,0.5084577201575663,1.1726428232402797,-3.0677197798595315,0.6075631678843982,1.0,residential_neighborhood,2,11676245112,12144820698,0
