has_crosswalk,has_traffic_sign,has_traffic_light,has_bicycle,obstruction_density,sidewalk_ratio,cycling_lane_coverage,greenery_ratio,road_condition,scene_label,highway,surface,Cluster,u,v,key
1.0,1.0,1.0,0.0,0.5682449982095612,0.9800463266706153,0.06592231542714903,0.5924340215442863,1.0,residential_neighborhood,service,concrete,8,11693044398,242433600,0
1.0,1.0,1.0,1.0,0.5792610988987467,0.46851549355218464,0.07872974883949674,0.563279782075476,1.0,residential_neighborhood,service,concrete,8,11693044398,242433600,0
1.0,1.0,1.0,1.0,0.6088352089274746,-0.47681186098351974,0.030143142882373835,0.6153042522519228,1.0,alley,service,concrete,6,11693044398,242433600,0
1.0,1.0,1.0,0.0,0.6015655842643782,-1.1724291343864468,-0.37631644874401293,0.5878141519660213,1.0,street,service,concrete,6,11693044398,242433600,0
1.0,1.0,1.0,1.0,0.593065463039454,-0.9276707297679747,0.07872974883949674,0.6179087699609276,1.0,alley,service,concrete,6,11693044398,242433600,0
1.0,1.0,1.0,0.0,0.6248241463275924,-0.9344879576411956,-0.08047701480590987,0.6170600538845837,1.0,alley,service,concrete,6,11693044398,242433600,0
1.0,1.0,1.0,1.0,0.5817428745214922,0.7384646475625589,0.07872974883949674,0.5398206751704677,1.0,residential_neighborhood,service,concrete,8,11693044398,242433600,0
1.0,1.0,1.0,1.0,0.6033441223237467,-1.0453740899429405,0.07872974883949674,0.5870176499307818,1.0,residential_neighborhood,service,concrete,6,11693044398,242433600,0
1.0,1.0,1.0,0.0,0.5920214638381882,-0.11719550108364025,0.04366580952023904,0.5589109197979061,1.0,residential_neighborhood,service,concrete,8,11693044398,242433600,0
1.0,1.0,1.0,1.0,0.6213672123097851,-1.2808601296347766,0.07872974883949674,0.6551598040083394,1.0,residential_neighborhood,service,concrete,6,11693044398,242433600,0
1.0,1.0,1.0,1.0,0.5709513457910803,0.8680423092123403,0.030087773530855875,0.5767886999710894,1.0,residential_neighborhood,service,concrete,8,11693044398,242433600,0
0.0,1.0,1.0,1.0,0.6186632155456583,-1.1493277009732814,0.07872974883949674,0.6533300770172694,1.0,alley,service,concrete,6,11693044398,242433600,0
1.0,1.0,1.0,0.0,0.6158535603070935,-1.315050825038507,0.07872974883949674,0.5656378455572352,1.0,alley,service,concrete,6,242433600,11693044398,0
0.0,1.0,1.0,1.0,0.6098161822110378,-0.7726073700783433,0.07872974883949674,0.6507846666337397,1.0,alley,service,concrete,6,242433600,11693044398,0
1.0,1.0,1.0,1.0,0.6105572787007677,-1.4348301218773103,0.07872974883949674,0.6153308806559227,1.0,alley,service,concrete,6,242433600,11693044398,0
1.0,1.0,1.0,0.0,0.5635442718227586,1.0113315291681002,0.07872974883949674,0.5903039210555191,1.0,residential_neighborhood,service,concrete,8,242433600,11693044398,0
1.0,1.0,1.0,0.0,0.5646230364524413,0.915256581582577,-0.3094064095067176,0.5880473745827856,1.0,residential_neighborhood,service,concrete,8,242433600,11693044398,0
1.0,1.0,1.0,0.0,0.6254592450181415,-1.28647761834075,0.07872974883949674,0.5925979478722708,1.0,alley,service,concrete,6,242433600,11693044398,0
1.0,1.0,1.0,0.0,0.5838583078756093,-1.428150633912879,0.07872974883949674,0.5820773000670811,1.0,alley,service,concrete,6,242433600,11693044398,0
1.0,1.0,1.0,1.0,0.5872326866315979,1.0609400110695748,0.07872974883949674,0.5516984581153751,1.0,residential_neighborhood,service,concrete,8,242433600,11693044398,0
1.0,1.0,1.0,1.0,0.5694845820695477,-0.6701029748037577,-4.928524572689571,0.5496486291569208,1.0,alley,service,concrete,2,242433600,11693044398,0
1.0,1.0,1.0,0.0,0.5656358581362454,1.0122524882899497,0.07872974883949674,0.5930587930173234,1.0,residential_neighborhood,service,concrete,8,242433600,11693044398,0
1.0,1.0,1.0,0.0,0.5691538084027117,1.0749610208509388,0.07872974883949674,0.595885365526555,1.0,residential_neighborhood,service,concrete,8,242433600,11693044398,0
1.0,1.0,1.0,0.0,0.6148322597681664,-1.2770991596855967,0.07872974883949674,0.5958837045437831,1.0,alley,service,concrete,6,242433600,11693044398,0
1.0,1.0,1.0,0.0,0.5703567278936899,0.829422562664439,-0.23195056948348475,0.586095803397323,1.0,residential_neighborhood,service,concrete,8,242433600,11693044398,0
1.0,1.0,1.0,0.0,0.623780833064486,-1.045664602281885,-1.4610730409632926,0.6468041048544082,1.0,street,service,concrete,6,242433600,11693044398,0
1.0,1.0,1.0,0.0,0.5682449982095612,0.9800463266706153,0.06592231542714903,0.5924340215442863,1.0,residential_neighborhood,service,concrete,8,242433600,11693044398,0
1.0,1.0,1.0,1.0,0.5792610988987467,0.46851549355218464,0.07872974883949674,0.563279782075476,1.0,residential_neighborhood,service,concrete,8,242433600,11693044398,0
1.0,1.0,1.0,1.0,0.6088352089274746,-0.47681186098351974,0.030143142882373835,0.6153042522519228,1.0,alley,service,concrete,6,242433600,11693044398,0
1.0,1.0,1.0,0.0,0.6015655842643782,-1.1724291343864468,-0.37631644874401293,0.5878141519660213,1.0,street,service,concrete,6,242433600,11693044398,0
1.0,1.0,1.0,1.0,0.593065463039454,-0.9276707297679747,0.07872974883949674,0.6179087699609276,1.0,alley,service,concrete,6,242433600,11693044398,0
1.0,1.0,1.0,0.0,0.6248241463275924,-0.9344879576411956,-0.08047701480590987,0.6170600538845837,1.0,alley,service,concrete,6,242433600,11693044398,0
1.0,1.0,1.0,1.0,0.5817428745214922,0.7384646475625589,0.07872974883949674,0.5398206751704677,1.0,residential_neighborhood,service,concrete,8,242433600,11693044398,0
1.0,1.0,1.0,1.0,0.6033441223237467,-1.0453740899429405,0.07872974883949674,0.5870176499307818,1.0,residential_neighborhood,service,concrete,6,242433600,11693044398,0
1.0,1.0,1.0,0.0,0.5920214638381882,-0.11719550108364025,0.04366580952023904,0.5589109197979061,1.0,residential_neighborhood,service,concrete,8,242433600,11693044398,0
1.0,1.0,1.0,1.0,0.6213672123097851,-1.2808601296347766,0.07872974883949674,0.6551598040083394,1.0,residential_neighborhood,service,concrete,6,242433600,11693044398,0
1.0,1.0,1.0,1.0,0.5709513457910803,0.8680423092123403,0.030087773530855875,0.5767886999710894,1.0,residential_neighborhood,service,concrete,8,242433600,11693044398,0
0.0,1.0,1.0,1.0,0.6186632155456583,-1.1493277009732814,0.07872974883949674,0.6533300770172694,1.0,alley,service,concrete,6,242433600,11693044398,0
1.0,1.0,1.0,0.0,0.5998876428089043,-1.4264417707482024,-0.9872875671778194,0.6793217601540218,1.0,alley,residential,concrete,6,321740681,747050301,0
0.0,1.0,1.0,0.0,0.6259113390208418,-1.7826190086634084,-0.6931207635173436,0.6381596737988804,1.0,street,residential,concrete,6,321740681,747050301,0
1.0,1.0,1.0,0.0,0.5998876428089043,-1.4264417707482024,-0.9872875671778194,0.6793217601540218,1.0,alley,residential,concrete,6,747050301,321740681,0
0.0,1.0,1.0,0.0,0.6259113390208418,-1.7826190086634084,-0.6931207635173436,0.6381596737988804,1.0,street,residential,concrete,6,747050301,321740681,0
1.0,1.0,1.0,0.0,0.6379869679004238,-1.9046632781409905,0.07872974883949674,0.5873969451474422,1.0,alley,residential,,3,7185202504,237033502,0
1.0,1.0,1.0,1.0,0.610672686449708,-1.0265538181108433,-2.753712647473866,0.5505014863556232,1.0,alley,residential,,2,7185202504,237033502,0
