u,v,key,geometry,SU_foot,SU_highway,SU_ALLEY,SU_lit,SU_maxspeed,SU_sidewalk,SU_PARKING_SUBTAGS,SU_TAG_crossing,SU_EDSA_accident_component,SU_motor_vehicle,SU_FROM_IMAGES_road_condition,SU_FROM_IMAGES_has_traffic_light,SU_FROM_IMAGES_has_crosswalk,MU_traffic_volume,MU_traffic_speed,MU_accident_risk,MU_safety_of_crossings,SU_FROM_IMAGES_sidewalk_ratio_binned,SU_FROM_IMAGES_greenery_ratio_binned,SU_FROM_IMAGES_obstruction_density_binned,MU_convenience_binned,MU_attractiveness_binned,MU_safety_of_sidewalks_binned,cluster
6534579882,6546391640,0,"LINESTRING (121.03866577148438 14.575959205627441, 121.03860473632812 14.576239585876465)",0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,4,1,3,3,0
1278914921,1467966546,0,"LINESTRING (121.03873443603516 14.576355934143066, 121.03910827636719 14.576452255249023)",0.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,4,2,3,3,13
1278914921,6534583886,0,"LINESTRING (121.03866577148438 14.576336860656738, 121.03873443603516 14.576355934143066)",0.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,4,2,3,3,13
1278914921,476288491,0,"LINESTRING (121.0387191772461 14.576440811157227, 121.03873443603516 14.576355934143066)",0.0,-0.5,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,2,2,4,2,3,1,10
6534583887,6534583885,0,"LINESTRING (121.03863525390625 14.576419830322266, 121.03793334960938 14.576239585876465)",0.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,4,2,3,3,13
6534583887,6534583886,0,"LINESTRING (121.03863525390625 14.576419830322266, 121.03866577148438 14.576336860656738)",0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,2,2,4,2,3,3,0
6534583887,476288491,0,"LINESTRING (121.0387191772461 14.576440811157227, 121.03863525390625 14.576419830322266)",0.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,4,2,3,3,13
1467966546,331693648,0,"LINESTRING (121.03910827636719 14.576452255249023, 121.03934478759766 14.576517105102539)",0.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,4,2,3,3,13
1467966546,1278914921,0,"LINESTRING (121.03873443603516 14.576355934143066, 121.03910827636719 14.576452255249023)",0.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,4,2,3,3,13
476288491,6534583887,0,"LINESTRING (121.0387191772461 14.576440811157227, 121.03863525390625 14.576419830322266)",0.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2,4,2,3,3,13
